event_id,cell,t_switch,t_next,old_cluster_id,new_cluster_id,old_cluster_size,new_cluster_size,old_cluster_members,new_cluster_members,label
EVT_00000,MSpp,53,54,3,0,3,3,ABalpppp|MSaap|MSpp,ABalpppp|ABplappa|MSpp,1
EVT_00001,ABalpppp,53,54,3,0,3,3,ABalpppp|MSaap|MSpp,ABalpppp|ABplappa|MSpp,1
EVT_00002,MSpp,54,55,0,3,3,3,ABalpppp|ABplappa|MSpp,ABalpppp|ABplappa|MSpp,1
EVT_00003,Cpp,54,55,1,2,3,3,ABalaaaa|ABplaaaa|Cpp,ABalaaaa|ABalpaaa|Cpp,1
EVT_00004,ABalapp,54,55,2,1,5,4,ABalapp|ABalappa|ABaraap|ABplaaap|ABplapaa,ABalapp|ABalappa|ABplaap|ABplapaa,1
EVT_00005,ABplapaa,54,55,2,1,5,4,ABalapp|ABalappa|ABaraap|ABplaaap|ABplapaa,ABalapp|ABalappa|ABplaap|ABplapaa,1
EVT_00006,ABplappa,54,55,0,3,3,3,ABalpppp|ABplappa|MSpp,ABalpppp|ABplappa|MSpp,1
EVT_00007,ABalaaaa,54,55,1,2,3,3,ABalaaaa|ABplaaaa|Cpp,ABalaaaa|ABalpaaa|Cpp,1
EVT_00008,ABalappa,54,55,2,1,5,4,ABalapp|ABalappa|ABaraap|ABplaaap|ABplapaa,ABalapp|ABalappa|ABplaap|ABplapaa,1
EVT_00009,ABalpppp,54,55,0,3,3,3,ABalpppp|ABplappa|MSpp,ABalpppp|ABplappa|MSpp,1
EVT_00010,ABprapap,54,55,3,0,3,4,ABprapap|ABprpapa|Cpaa,ABarapaa|ABarpa|ABprapap|ABprpaa,1
EVT_00011,ABarpa,55,56,0,1,4,4,ABarapaa|ABarpa|ABprapap|ABprpaa,ABarpa|ABprapap|ABprpaa|ABprpaaa,1
EVT_00012,ABprapap,55,56,0,1,4,4,ABarapaa|ABarpa|ABprapap|ABprpaa,ABarpa|ABprapap|ABprpaa|ABprpaaa,1
EVT_00013,ABprpaa,55,56,0,1,4,4,ABarapaa|ABarpa|ABprapap|ABprpaa,ABarpa|ABprapap|ABprpaa|ABprpaaa,1
EVT_00014,ABalpaaa,55,56,2,3,3,3,ABalaaaa|ABalpaaa|Cpp,ABalpa|ABalpaaa|Cppp,1
EVT_00015,ABalaaap,58,59,0,1,3,3,ABalaaap|ABalap|ABprappp,ABalaaap|ABplaaaa|Cpp,1
EVT_00016,Cpp,59,60,1,2,3,3,ABalaaap|ABplaaaa|Cpp,ABalaaap|ABplaaaa|Cpp,1
EVT_00017,ABalaaap,59,60,1,2,3,3,ABalaaap|ABplaaaa|Cpp,ABalaaap|ABplaaaa|Cpp,1
EVT_00018,ABplaaaa,59,60,1,2,3,3,ABalaaap|ABplaaaa|Cpp,ABalaaap|ABplaaaa|Cpp,1
EVT_00019,ABprap,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
EVT_00020,ABalppp,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
EVT_00021,ABplpaa,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
EVT_00022,ABarpapa,60,61,1,0,4,4,ABalppp|ABarpapa|ABplpaa|ABprap,ABalppp|ABarpapa|ABplpaa|ABprap,1
EVT_00023,MSpa,62,63,1,0,3,3,ABpraap|MSapp|MSpa,MSap|MSapp|MSpa,1
EVT_00024,ABalppp,62,63,0,1,4,3,ABalppp|ABarapaa|ABplpaa|ABprap,ABalppp|ABarapaa|ABplpaa,1
EVT_00025,ABplpaa,62,63,0,1,4,3,ABalppp|ABarapaa|ABplpaa|ABprap,ABalppp|ABarapaa|ABplpaa,1
EVT_00026,ABarapaa,62,63,0,1,4,3,ABalppp|ABarapaa|ABplpaa|ABprap,ABalppp|ABarapaa|ABplpaa,1
EVT_00027,MSapp,62,63,1,0,3,3,ABpraap|MSapp|MSpa,MSap|MSapp|MSpa,1
EVT_00028,MSap,63,64,0,2,3,4,MSap|MSapp|MSpa,MSap|MSapp|MSappp|MSpa,1
EVT_00029,MSpa,63,64,0,2,3,4,MSap|MSapp|MSpa,MSap|MSapp|MSappp|MSpa,1
EVT_00030,MSpp,63,64,3,4,3,3,ABalpppp|ABarpap|MSpp,ABalpppp|ABarpap|MSpp,1
EVT_00031,ABalpap,63,64,2,1,3,3,ABalaaap|ABalpap|ABaraaaa,ABalaaap|ABalpap|ABprpp,1
EVT_00032,ABarpap,63,64,3,4,3,3,ABalpppp|ABarpap|MSpp,ABalpppp|ABarpap|MSpp,1
EVT_00033,ABalaaap,63,64,2,1,3,3,ABalaaap|ABalpap|ABaraaaa,ABalaaap|ABalpap|ABprpp,1
EVT_00034,ABalpppp,63,64,3,4,3,3,ABalpppp|ABarpap|MSpp,ABalpppp|ABarpap|MSpp,1
EVT_00035,MSapp,63,64,0,2,3,4,MSap|MSapp|MSpa,MSap|MSapp|MSappp|MSpa,1
EVT_00036,MSpa,64,65,2,0,4,4,MSap|MSapp|MSappp|MSpa,ABplappp|MSapap|MSapp|MSpa,1
EVT_00037,MSapp,64,65,2,0,4,4,MSap|MSapp|MSappp|MSpa,ABplappp|MSapap|MSapp|MSpa,1
EVT_00038,MSpp,66,67,3,1,3,3,ABalpppp|MSapaa|MSpp,ABalpppp|MSapaa|MSpp,1
EVT_00039,ABalpppp,66,67,3,1,3,3,ABalpppp|MSapaa|MSpp,ABalpppp|MSapaa|MSpp,1
EVT_00040,MSapaa,66,67,3,1,3,3,ABalpppp|MSapaa|MSpp,ABalpppp|MSapaa|MSpp,1
EVT_00041,ABpraap,68,69,0,2,3,3,ABalappp|ABpraap|MSpaaa,ABalappp|ABpraap|MSpaaa,1
EVT_00042,ABalappp,68,69,0,2,3,3,ABalappp|ABpraap|MSpaaa,ABalappp|ABpraap|MSpaaa,1
EVT_00043,MSpaaa,68,69,0,2,3,3,ABalappp|ABpraap|MSpaaa,ABalappp|ABpraap|MSpaaa,1
EVT_00044,Dp,70,71,2,4,3,3,ABalpaap|ABalpapa|Dp,ABalpaap|ABalpapa|Dp,1
EVT_00045,ABalaaap,70,71,1,3,3,3,ABalaaap|ABalapaa|Cpp,ABalaaap|ABalapaa|Eprp,1
EVT_00046,ABalapaa,70,71,1,3,3,3,ABalaaap|ABalapaa|Cpp,ABalaaap|ABalapaa|Eprp,1
EVT_00047,ABalpaap,70,71,2,4,3,3,ABalpaap|ABalpapa|Dp,ABalpaap|ABalpapa|Dp,1
EVT_00048,ABalpapa,70,71,2,4,3,3,ABalpaap|ABalpapa|Dp,ABalpaap|ABalpapa|Dp,1
EVT_00049,ABprpaa,71,72,0,1,5,4,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABaraapp|ABprpaa|Epr|Epra,1
EVT_00050,Epr,71,72,0,1,5,4,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABaraapp|ABprpaa|Epr|Epra,1
EVT_00051,Dp,71,72,4,3,3,3,ABalpaap|ABalpapa|Dp,ABalpaap|ABalpapa|Dp,1
EVT_00052,ABalaapp,71,72,0,4,5,3,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABalaapp|ABalappa|Cpaaa,1
EVT_00053,ABalapaa,71,72,3,5,3,3,ABalaaap|ABalapaa|Eprp,ABalapaa|Eprp|MSaaaa,1
EVT_00054,ABalpaap,71,72,4,3,3,3,ABalpaap|ABalpapa|Dp,ABalpaap|ABalpapa|Dp,1
EVT_00055,ABalpapa,71,72,4,3,3,3,ABalpaap|ABalpapa|Dp,ABalpaap|ABalpapa|Dp,1
EVT_00056,ABaraapp,71,72,0,1,5,4,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABaraapp|ABprpaa|Epr|Epra,1
EVT_00057,Epra,71,72,0,1,5,4,ABalaapp|ABaraapp|ABprpaa|Epr|Epra,ABaraapp|ABprpaa|Epr|Epra,1
EVT_00058,Eprp,71,72,3,5,3,3,ABalaaap|ABalapaa|Eprp,ABalapaa|Eprp|MSaaaa,1
EVT_00059,ABarpap,72,73,6,0,3,3,ABarpap|ABarpppp|MSpppa,ABarpap|ABarpppp|MSpppa,1
EVT_00060,ABarpppp,72,73,6,0,3,3,ABarpap|ABarpppp|MSpppa,ABarpap|ABarpppp|MSpppa,1
EVT_00061,MSpppa,72,73,6,0,3,3,ABarpap|ABarpppp|MSpppa,ABarpap|ABarpppp|MSpppa,1
EVT_00062,Epr,73,74,1,2,4,4,ABaraapp|ABprpaa|Epr|Epra,ABalapapp|ABaraapp|Epr|Epra,1
EVT_00063,ABaraapp,73,74,1,2,4,4,ABaraapp|ABprpaa|Epr|Epra,ABalapapp|ABaraapp|Epr|Epra,1
EVT_00064,Epra,73,74,1,2,4,4,ABaraapp|ABprpaa|Epr|Epra,ABalapapp|ABaraapp|Epr|Epra,1
EVT_00065,ABarpaa,74,75,1,0,4,3,ABarpaa|ABplapa|ABprappa|ABprppap,ABaraaapa|ABarpaa|ABprappa,1
EVT_00066,Epr,74,75,2,4,4,3,ABalapapp|ABaraapp|Epr|Epra,ABalapapp|ABaraapp|Epr,1
EVT_00067,Da,74,75,6,5,3,3,Cpapp|Da|Dp,Cpapp|Da|Dp,1
EVT_00068,Dp,74,75,6,5,3,3,Cpapp|Da|Dp,Cpapp|Da|Dp,1
EVT_00069,ABaraapp,74,75,2,4,4,3,ABalapapp|ABaraapp|Epr|Epra,ABalapapp|ABaraapp|Epr,1
EVT_00070,ABarpppa,74,75,4,7,3,3,ABarpppa|ABplppa|Earp,ABaraappp|ABarpppa|Earp,1
EVT_00071,ABprappa,74,75,1,0,4,3,ABarpaa|ABplapa|ABprappa|ABprppap,ABaraaapa|ABarpaa|ABprappa,1
EVT_00072,Earp,74,75,4,7,3,3,ABarpppa|ABplppa|Earp,ABaraappp|ABarpppa|Earp,1
EVT_00073,Cpapp,74,75,6,5,3,3,Cpapp|Da|Dp,Cpapp|Da|Dp,1
EVT_00074,ABalapapp,74,75,2,4,4,3,ABalapapp|ABaraapp|Epr|Epra,ABalapapp|ABaraapp|Epr,1
EVT_00075,ABplaappp,74,75,3,2,3,3,ABplaapp|ABplaappp|ABplapaa,ABplaappp|ABplpapp|MSapp,1
EVT_00076,ABarpaa,75,76,0,6,3,4,ABaraaapa|ABarpaa|ABprappa,ABaraaapa|ABarpaa|ABplapa|ABprappa,1
